latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-2.16927,17.81697,312.89,1.23,1.1,2026-08-13,1414,Aqua,MODIS,63,6.1NRT,296.6,8.83,D
-2.16773,17.82759,313.3,1.23,1.1,2026-08-13,1414,Aqua,MODIS,64,6.1NRT,296.88,9.34,D
-2.14321,16.57427,315.64,1.48,1.2,2026-08-13,1414,Aqua,MODIS,27,6.1NRT,295.42,14.38,D
-2.14273,19.14327,310.38,1.06,1.03,2026-08-13,1414,Aqua,MODIS,57,6.1NRT,297.48,4.93,D
-2.14227,17.22894,313.06,1.34,1.15,2026-08-13,1414,Aqua,MODIS,63,6.1NRT,295.66,9.85,D
-2.1364,16.5809,317.14,1.48,1.2,2026-08-13,1414,Aqua,MODIS,41,6.1NRT,297.25,14.07,D
-2.12711,16.02397,325.67,1.63,1.26,2026-08-13,1414,Aqua,MODIS,50,6.1NRT,295.31,34.36,D
-2.08615,21.22048,309.72,1.01,1.01,2026-08-13,1414,Aqua,MODIS,54,6.1NRT,295.95,5.28,D
-2.00793,17.37248,314.11,1.3,1.13,2026-08-13,1414,Aqua,MODIS,58,6.1NRT,296.34,11.87,D
-2.00586,19.7623,309.48,1.02,1.01,2026-08-13,1414,Aqua,MODIS,55,6.1NRT,295.38,4.37,D
-2.00456,19.77116,310.91,1.02,1.01,2026-08-13,1414,Aqua,MODIS,60,6.1NRT,296.65,5.49,D
-1.97853,15.95353,316.73,1.64,1.26,2026-08-13,1414,Aqua,MODIS,69,6.1NRT,296.69,13.62,D
-1.95051,15.99246,312.78,1.63,1.26,2026-08-13,1414,Aqua,MODIS,48,6.1NRT,296.23,9.91,D
-1.94852,16.00641,318,1.62,1.25,2026-08-13,1414,Aqua,MODIS,71,6.1NRT,296.23,20,D
-1.94641,15.99937,315.27,1.62,1.25,2026-08-13,1414,Aqua,MODIS,38,6.1NRT,296.2,12.68,D
-1.93732,18.14295,310.02,1.17,1.08,2026-08-13,1414,Aqua,MODIS,58,6.1NRT,295.32,6.52,D
-1.87278,16.41767,322.3,1.51,1.21,2026-08-13,1414,Aqua,MODIS,58,6.1NRT,296.22,25.12,D
-1.83001,17.61125,313.15,1.25,1.11,2026-08-13,1414,Aqua,MODIS,61,6.1NRT,296.02,8.48,D
-1.82316,16.60747,316.83,1.46,1.19,2026-08-13,1414,Aqua,MODIS,0,6.1NRT,296.65,15.54,D
-1.79272,14.23188,318.93,2.23,1.45,2026-08-13,1414,Aqua,MODIS,72,6.1NRT,296.41,23.95,D
-1.79044,16.42711,312.95,1.5,1.21,2026-08-13,1414,Aqua,MODIS,61,6.1NRT,296.48,10.23,D
-1.78438,16.43141,312.6,1.5,1.21,2026-08-13,1414,Aqua,MODIS,53,6.1NRT,296,9.76,D
-1.76331,14.16709,319.39,2.26,1.46,2026-08-13,1414,Aqua,MODIS,73,6.1NRT,294.32,30.89,D
-1.76055,14.18153,323.08,2.25,1.45,2026-08-13,1414,Aqua,MODIS,76,6.1NRT,293.55,40.19,D
-1.7605,14.18675,318.2,2.25,1.45,2026-08-13,1414,Aqua,MODIS,69,6.1NRT,293.32,25.86,D
-1.68651,17.46641,309.3,1.27,1.12,2026-08-13,1414,Aqua,MODIS,55,6.1NRT,295.34,6.79,D
-1.66023,17.91008,310.19,1.2,1.09,2026-08-13,1414,Aqua,MODIS,60,6.1NRT,287.83,8.5,D
-1.49349,17.72383,310.85,1.22,1.1,2026-08-13,1414,Aqua,MODIS,46,6.1NRT,295.92,7.01,D
-1.49019,17.67998,311.92,1.23,1.1,2026-08-13,1414,Aqua,MODIS,53,6.1NRT,296.77,7.22,D
-1.48057,17.6786,311.76,1.23,1.1,2026-08-13,1414,Aqua,MODIS,30,6.1NRT,296.86,7.13,D
-1.39121,16.82262,313.73,1.39,1.17,2026-08-13,1414,Aqua,MODIS,57,6.1NRT,295.09,10.87,D
-1.34828,16.22443,314.93,1.53,1.22,2026-08-13,1414,Aqua,MODIS,28,6.1NRT,296.44,13.6,D
-1.31871,15.90048,312.44,1.62,1.25,2026-08-13,1414,Aqua,MODIS,58,6.1NRT,293.69,12.05,D
-1.31143,16.32629,312.85,1.5,1.21,2026-08-13,1414,Aqua,MODIS,51,6.1NRT,294.01,12.41,D
-1.3095,16.33929,315.99,1.5,1.21,2026-08-13,1414,Aqua,MODIS,69,6.1NRT,294.95,16.65,D
-1.2597,16.81587,311.12,1.38,1.16,2026-08-13,1414,Aqua,MODIS,0,6.1NRT,296.15,7.32,D
-1.21753,20.47747,317.53,1,1,2026-08-13,1414,Aqua,MODIS,73,6.1NRT,297.04,11.12,D
-1.2152,16.54668,310.33,1.44,1.19,2026-08-13,1414,Aqua,MODIS,35,6.1NRT,294.39,9.57,D
-1.17263,23.4686,311.85,1.29,1.13,2026-08-13,1414,Aqua,MODIS,63,6.1NRT,296.4,8.66,D
-1.15137,14.9215,309.8,1.91,1.35,2026-08-13,1414,Aqua,MODIS,18,6.1NRT,290.7,12.89,D
-1.05767,18.85774,308.16,1.07,1.03,2026-08-13,1414,Aqua,MODIS,35,6.1NRT,294.57,4.65,D
-1.04506,15.88553,313.82,1.6,1.25,2026-08-13,1414,Aqua,MODIS,31,6.1NRT,296.58,14.64,D
-1.0071,16.22412,310.52,1.51,1.21,2026-08-13,1414,Aqua,MODIS,57,6.1NRT,294.89,8.83,D
-0.99423,15.36198,315.65,1.76,1.3,2026-08-13,1414,Aqua,MODIS,58,6.1NRT,294.7,18.57,D
-0.91915,15.63818,316.84,1.67,1.27,2026-08-13,1414,Aqua,MODIS,54,6.1NRT,296.13,17.54,D
-0.85951,15.41244,310.97,1.73,1.29,2026-08-13,1414,Aqua,MODIS,48,6.1NRT,293.39,12.57,D
-0.83268,17.20113,310.65,1.29,1.13,2026-08-13,1414,Aqua,MODIS,27,6.1NRT,293.52,6.8,D
-0.79441,14.51404,315.45,2.04,1.39,2026-08-13,1414,Aqua,MODIS,56,6.1NRT,293.32,18.86,D
-0.77018,15.7785,311.88,1.62,1.25,2026-08-13,1414,Aqua,MODIS,63,6.1NRT,295.58,12.63,D
-0.75576,15.18285,311.12,1.8,1.31,2026-08-13,1414,Aqua,MODIS,52,6.1NRT,291.77,14.4,D
-0.75195,16.07368,312.23,1.54,1.22,2026-08-13,1414,Aqua,MODIS,63,6.1NRT,294.72,10.34,D
-0.72875,17.28193,308.65,1.27,1.12,2026-08-13,1414,Aqua,MODIS,58,6.1NRT,290.74,8.14,D
-0.72768,16.13227,310.68,1.52,1.22,2026-08-13,1414,Aqua,MODIS,52,6.1NRT,294.87,9.07,D
-0.72301,16.12346,313.25,1.52,1.22,2026-08-13,1414,Aqua,MODIS,66,6.1NRT,295.47,11.97,D
-0.72101,15.88443,317.39,1.58,1.24,2026-08-13,1414,Aqua,MODIS,72,6.1NRT,294.25,23.17,D
-0.665,16.18976,313.47,1.5,1.21,2026-08-13,1414,Aqua,MODIS,66,6.1NRT,295.39,11.74,D
-0.62988,15.94777,312.6,1.56,1.23,2026-08-13,1414,Aqua,MODIS,48,6.1NRT,293.84,13.93,D
-0.62404,16.20361,310.85,1.49,1.21,2026-08-13,1414,Aqua,MODIS,61,6.1NRT,294.67,8.16,D
-0.58568,14.64288,311.56,1.97,1.37,2026-08-13,1414,Aqua,MODIS,53,6.1NRT,293.13,14.68,D
-0.5429,14.6023,314.79,1.98,1.37,2026-08-13,1414,Aqua,MODIS,19,6.1NRT,294.08,17.92,D
-0.54028,16.0791,313.97,1.52,1.22,2026-08-13,1414,Aqua,MODIS,55,6.1NRT,294.63,14.71,D
-0.53093,14.6005,318.36,1.98,1.37,2026-08-13,1414,Aqua,MODIS,60,6.1NRT,293.77,27.32,D
-0.49894,15.58957,319.31,1.65,1.26,2026-08-13,1414,Aqua,MODIS,75,6.1NRT,294.25,27.9,D
-0.38807,14.77795,310.65,1.91,1.35,2026-08-13,1414,Aqua,MODIS,24,6.1NRT,294.24,12.61,D
-0.26697,18.83335,309.41,1.05,1.02,2026-08-13,1414,Aqua,MODIS,39,6.1NRT,295.61,5.74,D
-0.15857,18.6263,311.9,1.07,1.03,2026-08-13,1414,Aqua,MODIS,65,6.1NRT,294.04,7.82,D
-0.14526,15.88844,310,1.55,1.23,2026-08-13,1414,Aqua,MODIS,49,6.1NRT,294.46,13.81,D
-0.12148,14.55011,312.23,1.97,1.37,2026-08-13,1414,Aqua,MODIS,65,6.1NRT,292.83,19.79,D
-0.11552,14.54229,310.64,1.97,1.37,2026-08-13,1414,Aqua,MODIS,62,6.1NRT,293.24,17.35,D
-0.05284,16.37382,309.13,1.42,1.18,2026-08-13,1414,Aqua,MODIS,33,6.1NRT,293.18,9.49,D
-0.00502,15.58878,313.53,1.62,1.25,2026-08-13,1414,Aqua,MODIS,66,6.1NRT,295.66,13.74,D
1.13523,16.99603,311.16,1.25,1.11,2026-08-13,1414,Aqua,MODIS,62,6.1NRT,295.07,8.04,D
1.42405,16.17568,310.69,1.4,1.17,2026-08-13,1416,Aqua,MODIS,55,6.1NRT,296.01,9.13,D
1.70063,17.00687,308.17,1.22,1.1,2026-08-13,1416,Aqua,MODIS,46,6.1NRT,293.74,7.11,D
2.26213,20.56374,327.55,1.03,1.01,2026-08-13,1416,Aqua,MODIS,83,6.1NRT,295.7,21.75,D
2.42453,20.10384,316.54,1.01,1,2026-08-13,1416,Aqua,MODIS,71,6.1NRT,298.52,7.8,D
3.57059,21.61921,312.96,1.15,1.07,2026-08-13,1416,Aqua,MODIS,64,6.1NRT,297.5,8.26,D
3.9969,20.30174,311.93,1.03,1.02,2026-08-13,1416,Aqua,MODIS,63,6.1NRT,296.19,6.56,D
4.05297,20.56181,315.41,1.05,1.02,2026-08-13,1416,Aqua,MODIS,69,6.1NRT,296.98,8.87,D
4.05509,20.70231,312.71,1.06,1.03,2026-08-13,1416,Aqua,MODIS,63,6.1NRT,296.61,6.81,D
4.32553,20.84367,311.01,1.08,1.04,2026-08-13,1416,Aqua,MODIS,59,6.1NRT,295.87,5.56,D
4.33466,19.837,313.11,1.01,1.01,2026-08-13,1416,Aqua,MODIS,65,6.1NRT,293.83,6.96,D
6.11036,21.3058,313.67,1.19,1.08,2026-08-13,1416,Aqua,MODIS,65,6.1NRT,296.93,8.72,D
12.97923,13.91547,321.78,1.32,1.14,2026-08-13,1418,Aqua,MODIS,46,6.1NRT,299.09,16.74,D
12.98074,13.92177,332.86,1.32,1.14,2026-08-13,1418,Aqua,MODIS,76,6.1NRT,299.67,36.62,D
12.98108,13.92717,339.23,1.32,1.14,2026-08-13,1418,Aqua,MODIS,87,6.1NRT,299.65,51.46,D
13.05617,14.075,332.04,1.29,1.13,2026-08-13,1418,Aqua,MODIS,80,6.1NRT,298.61,33.96,D
13.058,14.0864,323.78,1.29,1.13,2026-08-13,1418,Aqua,MODIS,63,6.1NRT,299.13,19.03,D
13.11664,14.20402,326.42,1.26,1.12,2026-08-13,1418,Aqua,MODIS,70,6.1NRT,298.43,20.01,D
13.12078,14.20812,323.15,1.26,1.12,2026-08-13,1418,Aqua,MODIS,59,6.1NRT,298.84,14.42,D
13.14119,15.25796,327.95,1.11,1.05,2026-08-13,1418,Aqua,MODIS,74,6.1NRT,304.3,10.85,D
13.14197,14.216,326.85,1.26,1.11,2026-08-13,1418,Aqua,MODIS,72,6.1NRT,299.8,20.39,D
13.40452,14.63726,324.22,1.18,1.08,2026-08-13,1418,Aqua,MODIS,54,6.1NRT,302.38,10.15,D
